,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,smiles,unimol_similarity,tankbind_affinity,drugban_affinity,moltrans_affinity
vdr_unique_G1_13507,G1,,5.478325128555299,8.350969409942621,4.981273114681245,7.52687168121338,-11.0,,,CCCOc1ccc2cc(-c3ccc(C=CC(=O)O)cc3)ccc2c1,0.0674157303370786,-9.9,-7.4,-7.0
vdr_unique_G1_13508,G1,,6.226923882961275,8.687232255935676,5.347386837005616,8.0861873626709,-9.6,,,CCCOc1cccc(C(O)CNC(=O)c2ccc(C(CC)(CC)CC(=O)OC)n2CC)c1,0.055045871559633,-9.9,-7.4,-7.1000000000000005
vdr_unique_G1_13509,G1,,8.276480793952945,8.797726821899426,5.756171226501463,8.62614154815674,-9.8,,,CCCOc1cccc(C2=C(CC)CC(CC3C(=O)c4cccc5cccc(c45)CC3=CC(=O)C(O)CCC(C)(C)O)C(O)C2)c1,0.1596638655462184,-9.5,-7.4,-7.0
vdr_unique_G1_1351,G1,,8.782356142997742,8.952658319473262,6.371474802494051,9.38454341888428,-12.1,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC#CC2CC(O)C(O)C(CC)O2)CCC1O,0.4761904761904761,-9.7,-7.4,-7.4
vdr_unique_G1_13510,G1,,6.4356401562690735,8.290152502059929,5.093340516090394,9.19979572296143,-10.3,,,CCCOc1cccc(C=CC=C2CCC(CC)CCC2c2ccc(C(=O)OC)cc2)c1,0.1037735849056603,-9.7,-7.2,-7.0
vdr_unique_G1_13511,G1,,5.375299513339997,8.151998853683462,4.650275230407713,8.58370208740234,-7.5,,,CCCOc1cccc(N(C(=O)CC)C(C)CC)c1,0.0666666666666666,-9.7,-6.7,-6.7
vdr_unique_G1_13512,G1,,5.754212379455566,8.901739072799685,5.635334193706513,6.64056205749512,-10.0,,,CCCS(=O)(=O)C1=C(C(=O)c2ccc(C(CC)(CC)c3ccc(OCC)cc3)cc2C)CC(O)CC1O,0.1313131313131313,-9.9,-7.4,-7.2
vdr_unique_G1_13513,G1,,5.188237369060515,8.172742462158203,4.70760530233383,7.58703231811523,-7.3,,,CCCS(=O)(=O)CC(=O)N(C)CC1CCC1F,0.0697674418604651,-9.5,-6.0,-6.5
vdr_unique_G1_13514,G1,,4.9704669713974,7.877555990219113,4.7525330781936646,6.3157901763916,-7.4,,,CCCS(=O)(=O)CC(=O)c1ccc(OCC)cc1,0.0595238095238095,-9.7,-6.7,-6.5
vdr_unique_G1_13515,G1,,5.661001145839693,8.700375986099246,4.692305207252501,7.89625549316406,-9.6,,,CCCS(=O)(=O)N(C)CCC=C1CCc2cccc(O)c21,0.086021505376344,-9.9,-7.4,-6.5
vdr_unique_G1_13516,G1,,5.536412417888641,8.618137931823728,4.942066729068756,6.41454601287842,-9.8,,,CCCS(=O)(=O)N1CCC(=C2CCCc3cc(Cl)ccc32)CC1,0.0638297872340425,-9.9,-7.2,-7.2
vdr_unique_G1_13517,G1,,5.892612755298615,8.567109394073489,5.314240515232086,8.16476917266846,-10.6,,,CCCS(=O)(=O)N1CCC(=C2c3ccc(Cl)cc3CCC2O)CC1,0.1063829787234042,-9.9,-7.4,-7.2
vdr_unique_G1_13518,G1,,5.3593252301216125,8.637463235855098,5.039214909076692,6.47156715393066,-9.0,,,CCCS(=O)(=O)N1CCC(C(=O)NCCc2ccc(OCCCO)cc2)CC1,0.0792079207920792,-9.7,-6.9,-6.9
vdr_unique_G1_13519,G1,,5.276665151119232,8.100249719619745,4.566246449947355,7.36020755767822,-7.5,,,CCCS(=O)(=O)N1CCC(C(C)(C)O)CC1,0.1184210526315789,-9.5,-6.2,-6.5
vdr_unique_G1_1352,G1,,8.32024198770523,9.598373126983631,5.881175577640533,9.47705268859863,-12.9,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)C=CC=CC(C)(CCC(=O)O)c2ccccc2)CC(O)CC1O,0.5764705882352941,-9.7,-7.4,-7.0
vdr_unique_G1_13520,G1,,6.424421608448036,8.825468158721938,6.064905881881714,6.85781192779541,-10.2,,,CCCS(=O)(=O)N1CCC(CCc2ccc(C#CC(C)(C)O)cc2)CC1,0.1075268817204301,-9.9,-7.4,-6.9
vdr_unique_G1_13521,G1,,4.915069162845613,8.142060708999638,4.597506821155548,8.20709419250488,-6.1,,,CCCS(=O)(=O)N1CCC(O)(CC)C1CCO,0.0952380952380952,-9.5,-6.2,-6.7
vdr_unique_G1_13522,G1,,6.137870192527773,8.791297578811642,5.285056233406066,6.04829788208008,-8.6,,,CCCS(=O)(=O)NC(=O)C1(C)CCC(=O)N1c1ccc(OCCOC)cc1,0.0909090909090909,-9.7,-6.7,-6.7
vdr_unique_G1_13523,G1,,5.045791268348694,8.125799083709724,4.450286269187926,6.97653198242188,-6.9,,,CCCS(=O)(=O)NC(CC)C(O)CC(C)(C)O,0.1139240506329113,-9.5,-6.2,-6.7
vdr_unique_G1_13524,G1,,5.443782269954681,8.826375818252556,5.516867280006408,6.27314567565918,-9.6,,,CCCS(=O)(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(=O)O)c(C)c2)o1,0.0594059405940594,-9.9,-7.4,-6.9
vdr_unique_G1_13525,G1,,5.190526008605957,8.112480735778806,4.7736082673072815,5.58903980255127,-7.8,,,CCCS(=O)(=O)c1ccc(COCCC#CCO)cc1,0.0439560439560439,-9.5,-6.4,-6.5
vdr_unique_G1_13526,G1,,5.209737181663513,7.661001873016362,4.65366131067276,4.69361877441406,-5.6,,,CCCS(=O)(=O)c1nc(S(C)(=O)=O)cn1CC,0.0481927710843373,-9.5,-6.0,-6.5
vdr_unique_G1_13527,G1,,5.847369730472568,8.493566656112675,5.708760857582091,5.44802951812744,-9.4,,,CCCS(=O)(=O)c1oc(C(C)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)nc1C,0.0571428571428571,-9.9,-7.2,-6.9
vdr_unique_G1_13528,G1,,5.730782747268678,8.382125997543337,5.047139167785648,6.90086364746094,-9.9,,,CCCSC(=O)N(C)C1CCCc2c1ccc1ccccc21,0.0957446808510638,-9.9,-7.2,-7.0
vdr_unique_G1_13529,G1,,5.57263720035553,8.201607418060306,5.301365077495577,6.30823612213135,-7.7,,,CCCSC1=C(C#CCNCCN2CCOCC2)CC(O)C(O)C1,0.0833333333333333,-9.7,-6.9,-6.9
vdr_unique_G1_1353,G1,,7.6887935400009155,8.507218837738028,5.917529940605164,9.59544086456299,-11.9,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)NCC(=O)O)CC(O)CC1O,0.6388888888888888,-9.7,-7.4,-7.4
vdr_unique_G1_13530,G1,,8.368087887763977,8.760457944869994,5.993532180786134,8.04430484771729,-12.1,,,CCCSC1=CC(=CC=C2CCCC3(C)C2CCC3C(C)(C)CCC=C(C)C)CC1O,0.3409090909090909,-9.7,-6.9,-7.0
vdr_unique_G1_13531,G1,,8.51282316446304,8.950276136398315,6.251586139202118,8.93510055541992,-11.6,,,CCCSC1=CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(O)C(C)(C)O)CC(O)C1,0.4578313253012048,-9.9,-7.4,-7.2
vdr_unique_G1_13532,G1,,5.80716919898987,8.385869646072388,4.692234039306641,9.11513137817383,-9.0,,,CCCSC1C(O)CC(=CC=C2COCO2)CC1O,0.1176470588235294,-9.5,-6.4,-6.7
vdr_unique_G1_13533,G1,,5.238241970539091,8.515575981140145,4.791012346744538,6.62800788879395,-7.5,,,CCCSCC(CC)CC1CCC(CC)CC1=O,0.1058823529411764,-9.7,-6.7,-6.7
vdr_unique_G1_13534,G1,,5.794747531414034,8.154821634292599,5.3810500502586365,5.85448265075684,-7.3,,,CCCSCCC(CC)(CCC)C1=CCC(CC)CC1,0.1046511627906976,-9.7,-6.7,-6.5
vdr_unique_G1_13535,G1,,6.14019739627838,8.86105756759644,5.573590695858002,5.40761566162109,-8.9,,,CCCSc1ccc(C#CC2(C)CCC2)cc1C,0.0919540229885057,-9.7,-6.7,-6.7
vdr_unique_G1_13536,G1,,5.936109185218811,8.785328817367546,6.396533131599429,7.03588199615479,-8.8,,,CCCSc1ccc(CC(CC)(CC)c2ccc(OCCCN)c(C)c2)n1CC,0.0490196078431372,-9.9,-7.2,-6.7
vdr_unique_G1_13537,G1,,5.654737114906313,8.147349548339847,4.776470720767975,6.16031742095947,-7.2,,,CCCSc1ccccc1C(=O)C1CCCN1C,0.0898876404494382,-9.7,-6.7,-6.7
vdr_unique_G1_13538,G1,,5.478789925575257,9.116613435745244,4.766344070434571,6.16175365447998,-7.4,,,CCCSc1ccccc1C(O)(C(=O)NC)c1ccccc1,0.0681818181818181,-9.9,-7.4,-6.9
vdr_unique_G1_13539,G1,,5.286500275135041,8.535467576980588,4.493301331996919,7.81807899475098,-8.7,,,CCCc1c(C)c(C=CC(O)CC(O)CC(=O)O)cn(CC)c1=O,0.0612244897959183,-9.7,-6.7,-6.7
vdr_unique_G1_1354,G1,,7.673109710216524,9.211330986022949,6.656233608722688,9.59255981445313,-11.5,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)OCCCC)CC(=CC=C2CC(O)CC(O)C2CCC)CC1O,0.4777777777777778,-9.7,-7.4,-7.0
vdr_unique_G1_13540,G1,,5.493786036968231,8.98460326194764,5.065383553504944,5.75176334381104,-8.5,,,CCCc1c(C)cc(O)c(C(CC)(CC)c2ccc(C(=O)OCC)o2)c1C,0.0729166666666666,-9.9,-7.4,-6.9
vdr_unique_G1_13541,G1,,6.777063488960268,9.162149238586425,5.648149192333223,5.91605281829834,-9.3,,,CCCc1c(CCCCC(C)(C)CC)nc(CC)n(CCCc2cccc(COCC)c2)c1=O,0.0747663551401869,-9.7,-6.9,-6.7
vdr_unique_G1_13542,G1,,7.574880480766298,8.637357807159429,5.437870502471922,9.09560394287109,-8.0,,,CCCc1c(CCCCC(C)(C)O)c(C2CC=C(CC)C2C=CC2(C)CCC2O)cc(OC)c1OC,0.2058823529411764,-9.7,-7.4,-7.2
vdr_unique_G1_13543,G1,,6.927916705608369,8.42907228469849,5.881554126739502,6.54143047332764,-4.1,,,CCCc1cc(=O)cc(-c2ccc(C(CC)(CC)C3CCC3)cc2)c2cc(C(CC)(CC)c3cc(OC)c(OC)c(OC)c3)oc12,0.1009174311926605,-9.5,-6.7,-6.3
vdr_unique_G1_13544,G1,,6.825741708278656,8.47981767654419,5.397550761699677,8.73476791381836,-9.9,,,CCCc1cc(C#CC=CC=CC#CCC(C)(C)CC=CC(C)(C)O)co1,0.0816326530612244,-9.9,-7.2,-6.9
vdr_unique_G1_13545,G1,,7.059406340122225,9.128551244735718,5.701366245746614,8.19116497039795,-5.5,,,CCCc1cc(C(=C(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)ccc1O,0.0754716981132075,-9.5,-6.9,-7.0
vdr_unique_G1_13546,G1,,7.099400222301483,8.849100923538213,4.936863839626314,9.16710948944092,-10.5,,,CCCc1cc(C(=O)C=CC=CC=C2CC(CC)CC(CO)C(O)C2)ccc1O,0.1078431372549019,-9.9,-7.4,-7.1000000000000005
vdr_unique_G1_13547,G1,,5.666147828102112,8.655058860778803,5.484391629695891,5.60500621795654,-11.0,,,CCCc1cc(C(=O)CC(=O)CCC(=O)O)cc(C)c1C(C)(C)c1ccc2c(c1)CCC(C)(C)O2,0.1238095238095238,-9.9,-7.4,-7.0
vdr_unique_G1_13548,G1,,5.890982747077941,8.509745597839366,4.850643694400787,7.91612052917481,-9.9,,,CCCc1cc(C)cc(C)c1C1CCC(C(O)CC(O)CC(=O)CC(O)CC(=O)O)CC1=O,0.087378640776699,-9.9,-7.4,-7.1000000000000005
vdr_unique_G1_13549,G1,,5.667954802513124,8.243084430694582,5.515388011932372,6.10374736785889,-8.9,,,CCCc1cc(C)ccc1C=C1CN(CC)C(=O)CC1CCC1CCCO1,0.0980392156862745,-9.9,-7.2,-7.2
vdr_unique_G1_1355,G1,,8.446975171566011,9.278804731369016,6.234432756900787,9.3027925491333,-10.6,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)C(C)(C)O)CCCC1O,0.6086956521739131,-9.7,-7.4,-7.2
vdr_unique_G1_13550,G1,,6.184555351734164,8.239502000808708,4.901721417903899,7.27841377258301,-10.1,,,CCCc1cc(C2CCCN(Cc3ccc(O)cc3)C2)oc(=O)c1,0.1063829787234042,-9.9,-7.4,-7.0
vdr_unique_G1_13551,G1,,5.905918478965758,8.659719324111943,5.316282093524935,8.75000190734863,-8.1,,,CCCc1cc(C2CN=C3CC(O)C(COC)CC32)ccc1O,0.0927835051546391,-9.9,-7.4,-7.0
vdr_unique_G1_13552,G1,,5.341085791587829,8.500329208374021,5.061588585376741,5.86933326721191,-8.3,,,CCCc1cc(CC(O)(C(F)(F)F)C(F)(F)F)cc(OC)c1O,0.0689655172413793,-9.9,-7.4,-6.9
vdr_unique_G1_13553,G1,,5.691972970962524,8.051668024063108,4.788927614688875,5.66407775878906,-8.7,,,CCCc1cc(CCC(C)=CCCC(=O)C(=O)OCC)ccc1O,0.0520833333333333,-9.9,-7.4,-6.7
vdr_unique_G1_13554,G1,,6.075591385364534,8.892576551437372,6.02940207719803,6.28147315979004,-10.0,,,CCCc1cc(CCCOc2ccc(-c3c(CC)c(C)nn3CC)cc2)cc(NS(C)(=O)=O)c1,0.0462962962962962,-9.9,-7.2,-7.2
vdr_unique_G1_13555,G1,,5.908652424812317,9.080418920516962,5.067386686801911,5.52612590789795,-9.9,,,CCCc1cc(O)cc2c(=O)c(C)c(-c3ccc(OC)c(C)c3)oc12,0.05,-9.9,-7.4,-7.0
vdr_unique_G1_13556,G1,,5.952558338642121,8.964652395248416,4.95868331193924,8.8601541519165,-11.2,,,CCCc1cc(O)ccc1C(=O)C=Cc1ccc(C(CC)(CC)c2ccccc2)cc1,0.0842105263157894,-9.7,-7.4,-7.0
vdr_unique_G1_13557,G1,,7.6975603103637695,8.840887737274167,5.884037435054781,5.67722320556641,-10.2,,,CCCc1cc(OC)c(CC(O)CCc2ccc(OCCCOCC(O)CCCC(C)(C)C)c(C)c2)n1CC,0.1111111111111111,-9.9,-7.1000000000000005,-6.7
vdr_unique_G1_13558,G1,,6.272158980369569,8.609802865982056,5.695871829986571,6.3785572052002,-7.6,,,CCCc1cc(OCCC(C)(C)O)c(C)c2c1c(CCC)cn2CC,0.1494252873563218,-9.9,-7.4,-6.7
vdr_unique_G1_13559,G1,,5.310384333133696,8.4719844341278,4.979792475700378,5.14530849456787,-8.9,,,CCCc1cc(OCc2ccc(C(=O)O)c(C)c2)c(C)c(C)c1C,0.053763440860215,-9.9,-7.4,-6.7
vdr_unique_G1_1356,G1,,8.082455158233643,8.828368091583247,6.267331480979919,8.40484237670898,-11.2,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)C)CC(O)CC1O,0.7741935483870968,-9.7,-7.4,-7.2
vdr_unique_G1_13560,G1,,5.30251294374466,8.171779394149778,4.96493399143219,5.98892879486084,-7.3,,,CCCc1cc(Oc2ccccc2)nc(C(Br)CCCO)n1,0.086021505376344,-9.9,-7.4,-6.9
vdr_unique_G1_13561,G1,,6.531630873680115,8.453977394104006,5.451848864555359,6.91579437255859,-10.4,,,CCCc1cc2c3ccccc3n(CC)c2c(C)c1C=CC(O)C1CCCNC1,0.1067961165048543,-9.9,-7.4,-7.4
vdr_unique_G1_13562,G1,,7.345372378826145,8.857255983352667,6.75293344259262,8.85645961761475,-10.2,,,CCCc1ccc(CCC(C)(CC)c2ccc(OCC(O)C(C)(C)O)c(C)c2)n1CC(=O)O,0.0980392156862745,-9.9,-7.4,-7.1000000000000005
vdr_unique_G1_13563,G1,,6.00708854198456,8.724398422241206,5.629970490932465,8.16792964935303,-9.9,,,CCCc1ccc(Cc2cc(C3OC(CCC(=O)O)CC3O)cc(CCC)c2C)cc1,0.08,-9.9,-7.4,-7.4
vdr_unique_G1_13564,G1,,6.116202712059023,8.784915924072267,6.016010284423829,5.68532466888428,-9.9,,,CCCc1ccccc1OCCC(CC)(CCC)c1ccc(OCCC#CC#CCO)c(C)c1,0.0571428571428571,-9.9,-7.4,-6.7
vdr_unique_G1_13565,G1,,5.201785981655123,8.36880679130554,4.545948684215545,6.63601112365723,-7.9,,,CCCc1nc(C(=O)NC(CC)CC)cn1CC,0.0689655172413793,-9.7,-6.5,-6.5
vdr_unique_G1_13566,G1,,6.537847101688388,8.749778985977176,5.280086040496826,5.63381862640381,-8.3,,,CCCc1nc(C)c(C(CC)(CC)n2ccnc2C)c(C(=O)NCCCc2ccccc2)n1,0.0747663551401869,-9.9,-7.2,-7.2
vdr_unique_G1_13567,G1,,5.835098326206207,8.698873281478887,5.069741725921631,5.59742259979248,-9.6,,,CCCc1nc(C)c(C2=CCCCC(O)(CC)C2)c(C)c1C,0.1123595505617977,-9.9,-7.2,-6.7
vdr_unique_G1_13568,G1,,5.651962518692018,8.363490486145015,4.844209671020509,4.75600242614746,-8.4,,,CCCc1nnc(S)n1C(CC)c1ccc(C(=O)O)c(C)c1,0.0515463917525773,-9.9,-7.4,-6.9
vdr_unique_G1_13569,G1,,6.182727634906769,8.423543977737427,5.218113362789154,6.76347541809082,-9.4,,,CCCn1c(=O)[nH]c(=O)c2c1nc(C)n2CC(=O)C=C(Cl)C1=CC=CC1O,0.0761904761904762,-9.7,-6.7,-7.2
vdr_unique_G1_1357,G1,,7.905605971813202,9.476511001586903,7.436382114887239,7.90781879425049,-10.4,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)C2CC3CCC(O)C3(C)C23CCC(O)(C(F)(F)F)C3)CC(O)CC1O,0.5903614457831325,-9.5,-6.9,-7.0
vdr_unique_G1_13570,G1,,6.405981361865996,9.1151176929474,6.058258771896362,6.94989013671875,-10.5,,,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(C(=O)OCC)CC4)cc3)nc2n(CC)c1=O,0.0446428571428571,-9.7,-6.4,-6.8
vdr_unique_G1_13571,G1,,5.8783645033836365,8.746691370010371,5.397888481616975,6.51608943939209,-9.7,,,CCCn1c(=O)c2cc(C(=O)NCCC(=O)O)ccc2n1CCSc1ncc(C)c(C)n1,0.043859649122807,-9.9,-7.4,-7.2
vdr_unique_G1_13572,G1,,5.647297918796539,8.5032905101776,4.952865719795229,8.13725471496582,-9.4,,,CCCn1c(=O)c2cc(C(=O)OCC)ccc2n1CC(=O)c1ccccc1,0.0510204081632653,-9.9,-7.2,-7.2
vdr_unique_G1_13573,G1,,6.31022483110428,8.232641220092777,5.622825980186462,6.76072597503662,-10.4,,,CCCn1c(=O)ccc(C2CCCc3nc(C#CC4CC4)nn3C2)cc1=O,0.088235294117647,-9.9,-7.0,-7.0
vdr_unique_G1_13574,G1,,5.549874305725098,7.942543983459468,4.921354413032532,8.04089164733887,-8.5,,,CCCn1c(=O)ccc2cc(OCC(O)CO)ccc21,0.064516129032258,-9.5,-6.4,-6.7
vdr_unique_G1_13575,G1,,7.9814121723175075,9.149580621719362,5.989560127258303,9.10856533050537,-10.6,,,CCCn1c(C(=O)NC(CC(=O)O)C(=O)O)ccc1C(CC)(CC)c1ccc(OCCC(O)C(C)(C)C)c(C)c1,0.09009009009009,-9.9,-7.4,-6.9
vdr_unique_G1_13576,G1,,7.169452130794528,8.551830434799196,6.459833264350891,6.00654697418213,-6.1,,,CCCn1c(C(=O)NC(CCC#CCOC(C)(C)C)C(O)CC(CCC(O)CC(O)CC(Cl)CC)OC(=O)CCCOCCC(C)(C)O)ccc1C(CC)(CO)CC(C)C,0.1194029850746268,-9.5,-5.300000000000001,-6.0
vdr_unique_G1_13577,G1,,5.841548025608064,8.917861175537109,6.27271169424057,6.51648616790772,-8.8,,,CCCn1c(C(=O)NCC#CC#CC#CC(=O)O)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.0707964601769911,-9.9,-7.4,-6.9
vdr_unique_G1_13578,G1,,7.508916199207307,8.791591930389396,6.541468143463135,6.53717613220215,-10.5,,,CCCn1c(C(=O)NCCCN2CCOCC2)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.1061946902654867,-9.9,-7.4,-7.2
vdr_unique_G1_13579,G1,,7.29759007692337,8.933940219879153,6.877475798130037,7.74781894683838,-9.7,,,CCCn1c(C(=O)NCCCNC)ccc1C(CC)(CC)c1ccc(OCCCN(CC(O)C(C)(C)C)CC(F)(F)F)c(C)c1,0.0826446280991735,-9.7,-7.1000000000000005,-6.7
vdr_unique_G1_1358,G1,,8.780884027481079,9.204940462112424,6.260965287685394,9.31776809692383,-11.9,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)C2CCC3C(=CC=C4CC(O)CC(O)C4)CCCC32C)CC(O)C(O)C1O,0.5512820512820513,-9.5,-6.9,-6.8
vdr_unique_G1_13580,G1,,7.350929141044617,8.922449779510501,6.481308937072755,8.49580860137939,-10.3,,,CCCn1c(C(=O)NCCN(CC)CC)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.091743119266055,-9.9,-7.4,-6.7
vdr_unique_G1_13581,G1,,6.296089231967928,8.752546834945685,6.577970564365387,5.86927795410156,-11.7,,,CCCn1c(C(=O)NCCc2ccc3c(c2)OCCO3)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.0862068965517241,-9.7,-7.2,-6.8
vdr_unique_G1_13582,G1,,5.73081421852112,8.642528486251823,5.260586440563201,5.16821002960205,-10.5,,,CCCn1c(C(=O)NCCn2c(C)nc3ccccc32)ccc1C(C)(C)C,0.0816326530612244,-9.9,-7.2,-7.2
vdr_unique_G1_13583,G1,,7.635759353637695,8.826670455932623,5.8223077058792105,8.96660137176514,-10.9,,,CCCn1c(C(=O)c2ccc(OCC)c(C)c2)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.0961538461538461,-9.7,-6.9,-6.8
vdr_unique_G1_13584,G1,,5.805263698101044,8.289155197143563,4.652627259492875,7.28395462036133,-7.1,,,CCCn1c(C(C)C)cc(=O)c(OCC)c1CC(O)C(CC)CC,0.0638297872340425,-9.9,-7.2,-6.7
vdr_unique_G1_13585,G1,,5.732761383056641,8.453394126892103,5.397833168506624,5.96315574645996,-10.1,,,CCCn1c(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)cc(C(F)(F)F)cc1=O,0.0792079207920792,-9.9,-7.2,-6.7
vdr_unique_G1_13586,G1,,7.548240900039675,8.915052127838134,5.780829548835754,6.89272308349609,-10.4,,,CCCn1c(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)ccc(C(=O)CC(=O)CCC(=O)CC(C)(C)C)c1=O,0.09009009009009,-9.5,-7.1000000000000005,-6.5
vdr_unique_G1_13587,G1,,6.096389949321747,8.420912933349614,5.407805025577543,5.83401107788086,-9.6,,,CCCn1c(C(F)(F)F)cnc1SCC(=O)c1c(N)n(CCC#N)c2ncccc2c1=O,0.0521739130434782,-9.9,-6.7,-7.2
vdr_unique_G1_13588,G1,,5.199805319309236,8.164391660690304,4.53509098291397,5.89750194549561,-8.1,,,CCCn1c(C)c(C)c(C)c1CCC(O)CC(O)CC(=O)OCC,0.0652173913043478,-9.9,-7.2,-6.7
vdr_unique_G1_13589,G1,,5.578091859817504,8.39159269332886,4.77056896686554,6.40496730804443,-8.1,,,CCCn1c(C)c(CC)c(C2CCCO2)cc1=O,0.0795454545454545,-9.7,-6.5,-6.5
vdr_unique_G1_1359,G1,,8.375503778457642,9.272574329376232,6.793693244457247,9.43479919433594,-11.7,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)CC(C)(C)O)CC(O)CC1O,0.78125,-9.7,-7.4,-7.2
vdr_unique_G1_13590,G1,,6.042616724967958,8.671287488937379,6.007168769836428,7.59613227844238,-9.7,,,CCCn1c(C=C2CCNCC2)ccc1C(O)(CC)c1ccc(C(=O)C(C)(C)C)cc1,0.1237113402061855,-9.9,-7.4,-7.4
vdr_unique_G1_13591,G1,,6.241516530513763,8.99670162200928,5.600683152675628,7.10559844970703,-9.1,,,CCCn1c(CC)c(C(=O)C=C(C)CCC(O)(CC)CC)c(O)c1C(C)=CC=C(C)CC(C)CC,0.0961538461538461,-9.7,-6.7,-6.9
vdr_unique_G1_13592,G1,,5.713263630867004,8.737802267074587,4.821249961853027,6.0650634765625,-9.6,,,CCCn1c(CC)nnc1SCC(O)=C1C(=O)C=CC=C1CCC=C(C)C,0.0673076923076923,-9.9,-7.4,-6.9
vdr_unique_G1_13593,G1,,5.505545079708098,8.195962381362916,5.168636858463287,4.89528465270996,-9.5,,,CCCn1c(O)nc2cc3oc(C(=O)C(C)(C)O)cc3cc21,0.1098901098901098,-9.9,-7.4,-7.0
vdr_unique_G1_13594,G1,,5.400610208511354,8.255902719497668,4.69193661212921,5.63611602783203,-8.2,,,CCCn1c(SCC(=O)C(C)(C)C)nc2ccccc2c1=O,0.0638297872340425,-9.9,-7.2,-6.7
vdr_unique_G1_13595,G1,,7.301843762397768,8.547766542434697,5.583965301513673,8.63225269317627,-9.3,,,CCCn1cc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)cc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.1063829787234042,-9.5,-6.6000000000000005,-6.5
vdr_unique_G1_13596,G1,,5.470878481864931,8.317835521698001,5.569967448711395,5.35711097717285,-6.8,,,CCCn1cnc2c(C(=O)OCC)c3c(C)cc(C(=O)[O-])cc(=O)c3cc21,0.0380952380952381,-9.7,-6.7,-7.0
vdr_unique_G1_13597,G1,,4.929819345474243,7.903101444244392,4.830361485481261,5.2472357749939,-8.0,,,CCCn1ncc(C(=O)CC(=O)C(=O)NCCC(=O)O)c1C(C)(C)C,0.0736842105263157,-9.7,-6.7,-6.9
vdr_unique_G1_13598,G1,,5.549732029438019,8.487598943710323,5.34614771604538,6.23046684265137,-10.5,,,CCN(C(=O)COC(=O)C=Cc1ccc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1)C1CCS(=O)(=O)C1,0.087719298245614,-9.7,-7.2,-6.7
vdr_unique_G1_13599,G1,,5.795635282993316,8.084600257873541,4.728554129600523,6.7822790145874,-8.6,,,CCN(C(=O)c1cc(C(=O)O)nn1CC)c1ccc(C(C)(C)C)cc1,0.075268817204301,-9.9,-7.4,-6.7
vdr_unique_G1_136,G1,transmol,7.114316463,8.184616089,7.642514706,9.60269165,-12.7,-1.516748309,0.928219795,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(CCCO)CC1O,0.9476447,-9.759921,-8.804386646,-6.811709154
vdr_unique_G1_1360,G1,,8.646995723247528,9.07729954719544,6.187258660793304,9.21130657196045,-11.4,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)CC)CCC(O)C1O,0.5342465753424658,-9.7,-7.4,-7.2
vdr_unique_G1_13600,G1,,7.115537762641907,8.548586797714242,6.446255326271057,7.11684894561768,-9.5,,,CCN(C(=O)c1ccc(C(CC)(CC)c2ccc(CCC(=O)O)c(C)c2)n1CC)c1ccc(OCCC(C)(C)C)nc1,0.0683760683760683,-9.7,-7.4,-6.8
